,num_correct,ds,ds_ind,statute,fact_pattern,ambiguity_exists,level_of_ambiguity,reason_for_ambiguity
0,11,sara,246,"    (7) service performed in the employ of a State, or any political subdivision thereof.","Alice was paid $73200 in 2017 as a teacher in a public school in Baltimore, Maryland, USA.",True,2,"Public education is a political subdivision of the State, but it depends on the statute's intention for State employees."
1,13,echr,493,"Protocol 1 Article 2 

Right to education 

No person shall be denied the right to education. In the exercise of any functions which it assumes in relation to education and to teaching, the State shall respect the right of parents to ensure such education and teaching in conformity with their own religious and philosophical convictions.","5.  The applicants were born in 1993, 1992, 1992, 1994, 1993, 1993, 1995, 1993, 1996, 1994 and 1951 respectively and live in Tighina (Bender). 6.  The applicants are ten pupils of the Romanian (Moldovan) language boarding school in Tighina (Bender) for orphans and other children taken into public care, and their head teacher and also legal guardian, at the time of lodging the application. Not all the applicants are orphans and some of them had sporadic contacts with their parents. The children studied and lived at the school. During the summer holidays, they either went to summer camps or stayed with the families of the school staff. In 2004 the children spent their summer holidays together with the families of school staff. The applicants' school was registered with the Moldovan Ministry of Education and was therefore using the Latin script and a curriculum approved by the Ministry of Education of the Republic of Moldova. 7.  According to Article 12 of the Constitution of the ""Moldovan Republic of Trandniestria"" (""MRT""), the official languages within the ""MRT"" are ""Moldavian"", Russian and Ukrainian. Article 6 of the ""MRT"" Law on languages, which was adopted on 8 September 1992, states that, for all purposes, ""Moldavian"" must be written with the Cyrillic alphabet. The ""law"" provides further that use of the Latin alphabet may amount to an offence. In particular Article 200-3 (currently Article 5.28) of the ""MRT"" Code of Administrative Offences states that:
""Failure by persons holding public office and other persons in the executive and State administration, in public associations, as well as in other organisations, regardless of their legal status and form of ownership, and in other entities, situated on the territory of the MRT, to observe MRT's legislation on the functioning of languages on the territory of MRT ... entails liability in the form of a fine which may amount to 50 (fifty) minimal salaries."" 8.  On 18 August 1994 the ""MRT"" authorities forbade the use of the Latin script in schools. By a decision of 21 May 1999, the ""MRT"" ordered that all schools belonging to ""foreign States"" and functioning on ""its"" territory had to register with the ""MRT"" authorities, failing which they would not be recognised and would be deprived of their rights. The registration meant that the schools had to follow the ""MRT"" school curriculum, use the Cyrillic alphabet and learn history in the interpretation of the MRT authorities. 9.  More details about the general background of the facts of the case are described in the Court's judgment in Catan and Others v. the Republic of Moldova and Russia ([GC], nos. 43370/04, 8252/05 and 18454/06, §§ 13‑42, ECHR 2012 (extracts)). 10.  On 4 June 2004 the school administration was informed that the Bender city administration rescinded the utilities contracts because the school had failed to register with ""MRT"" authorities. However, the school was given a new time-limit, until 27 June 2004, to provide ""MRT"" authorities with documents in order to obtain such registration. 11.  The school administration did not comply with the request and on 27 June 2004 the water supply to the school was disconnected. 12.  On 30 June 2004 the Bender city administration requested the school to provide, by 1 July 2004, documents certifying its legal status, its entitlement to use the building and utilities as well as its bank account. 13.  On 5 July 2004 the school was disconnected from the electricity supply. 14.  On 15 July 2004 the Bender city administration issued a decision formally closing the school, because it operated without registration and license. 15.  In the evening of 26 July 2004, unidentified persons and around thirty ""MRT"" militia officers, acting on behalf of the Bender city administration, sealed the school buildings and restricted access to the school area. Russian peacekeeping forces were present but did not intervene. The following day, the children and teachers forcefully re-entered the school dormitory. They were still occupying it when the application was submitted. 16.  On 27 July 2004 the school administration sent a fax to the President of the Russian Federation complaining about the acts of the ""MRT"" authorities which affected 300 children, and about the inaction of Russian peacekeepers on 26 July 2004. 17.  On 4 August 2004 the school was given a new time-limit, until 15 August 2004, to register with the ""MRT"" authorities, otherwise the children risked being transferred by force to a Transdniestrian boarding school for children with disabilities. On 11 August 2004 the ""MRT"" authorities suggested to the school administration that children would have been safer if they were transferred to kindergarten no. 10 in Bender where appropriate living conditions would be available. 18.  The school was disconnected from all utilities and its administration was denied access to the school kitchen or storehouses. From 27 July to 10 August 2004 the Moldovan authorities provided the children with food and water, which was brought to the entrance of the city of Bender, the OSCE mission securing its transportation from there to the school. From 11 August 2004 OSCE employees were not allowed to deliver food and water more than once per day. 19.  On 21 August 2004 the school administration asked the Russian Embassy in Chișinău to intervene in order to remedy the situation of the children deprived of water, electricity and food.",False,0,"MRT infringed upon the right to ensure education with conformity to one's own beliefs, not the state's."
2,14,sara,191,    (11) remuneration for agricultural labor paid in any medium other than cash;,"Alice has paid $3200 to Bob for repairing her roof from Feb 1st, 2017 to Sep 2nd, 2017. Alice paid Bob with eggs, grapes and hay.",False,0,Bob was not paid for agricultural labor.
3,14,sara,231,    (16) service performed in the employ of an international organization;,Alice was paid $73200 in 2017 as an employee of the Organization of Turkic States.,True,2,"Organization of Turkic States is an international organization, but it has restricted membership to Turkic states. It's unclear whether it matches the spirit of “international organization.”"
4,15,sara,74,"        (B) who has the same principal place of abode as the taxpayer for more than one-half of such taxable year,","Alice has a son, Bob. From September 1st, 2015 to May 3rd, 2016, Alice and Bob lived in the same home. On May 3rd, 2016, Alice got engaged to Charlie, and started splitting her time between the home with Bob and Charlie's home. The current year is 2015.",False,0,"Regardless of future plans, Alice and Bob did not have the same principal abode for more than one-half of the current year."
5,15,echr,161,"Article 34 

Individual applications 

The Court may receive applications from any person, nongovernmental organisation or group of individuals claiming to be the victim of a violation by one of the High Contracting Parties of the rights set forth in the Convention or the Protocols thereto. The High Contracting Parties undertake not to hinder in any way the effective exercise of this right.","7.  The applicants are Syrian nationals. Their initials, dates of birth, application numbers and the other details of their cases are set out in the Appendix. At the time of lodging their applications the applicants were detained at detention centres for foreign nationals run by the Federal Migration Service (hereinafter ""the FMS"") in different towns in Russia. 8.  The facts of the cases, as submitted by the applicants, may be summarised as follows. 9.   On various dates between 2012 and 2016 the applicants came to Russia on various visas and did not leave when the period of their stay had expired. They were apprehended by the police and/or officers of the FMS in various regions in Russia for breaching the applicable immigration regulations, and placed in detention centres for foreigners (see the Appendix for the applicants' dates of detention and details of the relevant proceedings). The domestic courts in the respective regions examined their cases and found the applicants guilty of breaching various immigration regulations. Some of the applicants lodged appeals, but they were rejected by the domestic courts, whereas other applicants eventually had their expulsion orders quashed by the appeal courts. One of the applicants did not appeal against his expulsion order (see the Appendix for the details of individual cases) 10.  All the applicants sought to obtain refugee status and/or temporary asylum in Russia. Some of the applicants voluntarily withdrew their requests and others' requests were rejected, first by the FMS and then by the domestic courts which examined the appeals against the FMS's refusals. Only Y.A.'s request for temporary asylum was granted (see the Appendix for details). 11.  According to the information provided by their lawyers, while the proceedings before the Court were ongoing, six of the applicants (M.S.A., R.K., H.R., B.Z., S.W. and A.A.) left Russia of their own volition on various dates to go to third countries, where they settled (see the Appendix for details). 12.  Between 24 January 2014 and 10 June 2014 M.S.A. and R.K. were detained in a detention centre for foreign nationals run by the FMS in Krasnoye Selo, in the Leningrad Region. 13.  According to their submissions, the centre was based in an eight-storey building with windows covered with grills; five of the storeys were designed to accommodate 176 people in total. Each storey comprised around ten to eleven cells. The centre was severely overcrowded during the whole period of the applicants' detention. In particular, according to a report of the Human Rights Ombudsman in Saint Petersburg, on 26 February 2014 the centre accommodated 400 foreign nationals. 14.  Both applicants were detained in cell no. 511, located on the fifth storey, which measured around 9 square metres and was designed to accommodate six people. All places in the cell were occupied during the whole period of their detention. Thus, each detainee had no more than 1.5 square metres of personal space, despite the statutory requirement that each detainee in a detention centre for foreign nationals have at least 4.5 square metres of personal space. The cell was furnished with three bunk beds and two bedside tables. There was no dining table in the cell. 15.  The food was of poor quality, with no fruit or vegetables, and included pork, which the applicants could not eat for religious reasons. No alternative food was offered instead of pork, so they were deprived of any meal when pork was served. There were no kitchen and dining facilities in the centre. Food was delivered to the centre in containers and served cold in the cells. Detainees were forced to eat on their beds because there were no tables in the cells. This shortage in food was exacerbated by arbitrary restrictions on the contents of food parcels delivered from outside. Detainees were not allowed to receive fermented milk products, home‑cooked food, fruit or vegetables. 16.  Detainees had no free access to drinking water or devices to boil tap water. The cell where M.S.A. and R.K. were detained was only lit by one light bulb, and the detainees were not allowed to switch on the light after 10 p.m. 17.  The applicants and other inmates could move around on that storey to get to sanitary facilities, but they were not allowed to leave the storey or enter other detainees' cells. At the two ends of the common corridor there were bathrooms, each equipped with three lavatories, two washbasins and two showers. The storey was under the control of a dozen ""chosen"" inmates who, with the tacit consent of the centre's administration, dictated their rules to others and created an atmosphere of fear, violence and extortion. One of the bathrooms was for their exclusive use. The other seventy to eighty inmates had to use the other bathroom. 18.  Outdoor exercise was sporadic and lasted around 15-20 minutes. In winter, the applicants did not go outside, as they did not possess winter clothes. In the period April-May 2014 they were able to enjoy outdoor exercise only four times. Outdoor exercise took place in a closed yard measuring around 50 metres in length and 10 metres in width. There was gravel on the ground, and there were no benches, plants or sports equipment. 19.  The facility did not offer any activities, and no library was available. 20.  During the administrative hearing concerning his removal from Russia on 26 February 2016, H.R. was not represented by a lawyer. 21.  According to the lawyer representing B.Z., H.D. and S.W., on 25 March 2015 he was not allowed to meet with them in the detention centre.",False,0,"The applicants were able to submit applications to the Court, which were then ruled upon without hindrance."
6,15,echr,453,"Protocol 1 Article 1 

Protection of property 

Every natural or legal person is entitled to the peaceful enjoyment of his possessions. No one shall be deprived of his possessions except in the public interest and subject to the conditions provided for by law and by the general principles of international law. 

The preceding provisions shall not, however, in any way impair the right of a State to enforce such laws as it deems necessary to control the use of property in accordance with the general interest or to secure the payment of taxes or other contributions or penalties.","5.  The applicants were born in 1976 and 1982 and live in Khust and Kharkiv respectively. 6.  The first applicant lodged a claim against a social security authority, seeking an increase in the amount of child allowance she was receiving. A first-instance court allowed her claim in part. That judgment was upheld on appeal but the social security authority lodged a further appeal on points of law. 7.  On 6 November 2012 the Higher Administrative Court (""the HAC""), having examined the appeal, quashed the lower courts' judgments and dismissed the applicant's claim. 8.  The second applicant moved from the territory of the Republic of Moldova controlled by the so‑called ""Moldavian Republic of Transdniestria"" (""MRT"") (see Ilaşcu and Others v. Moldova and Russia [GC], no. 48787/99, ECHR 2004‑VII) to Ukraine to take up permanent residence. Under domestic law, repatriating Ukrainians were entitled to the tax-free and duty-free import of their foreign-registered vehicles. However, the customs office refused to apply this tax exemption in the applicant's case on the grounds that the car had not been registered by the appropriate authorities of the Republic of Moldova. She challenged this refusal before the administrative courts. A first-instance court allowed her claim and ordered the customs office to clear her car through customs. That judgment was upheld on appeal but the customs office lodged a further appeal on points of law. 9.  On 4 April 2013 the HAC allowed the appeal, quashed the lower courts' decisions and dismissed the applicant's claim. 10.  Both applicants alleged that the HAC, contrary to domestic law (see paragraph 11 below), had not sent them copies of the appeals lodged in their cases or informed them of the pending appeals by any other means, thus depriving them of an opportunity to respond. They alleged that they had only learned of the appeal proceedings when they had been served with the HAC's final decisions quashing the lower courts' decisions in their favour. 11.  As worded at the relevant time, Articles 214 and 215 of the 2005 Code of Administrative Justice provided that a HAC judge-rapporteur would decide, having considered an appeal, whether to initiate proceedings to review the lower courts' decisions on points of law. If the judge decided to initiate such proceedings, he or she was required to inform the parties of that decision and serve a copy of the appeal on the opposing party with a time-limit for responding. 12.  The relevant provisions of the Code concerning the procedure for serving court documents are summarised in Lazarenko and Others v. Ukraine (nos. 70329/12 and 5 others, § 15, 27 June 2017).",False,0,There is no deprivation of property in the fact pattern.
7,16,sara,81,"        (A) a child of the taxpayer or a descendant of such a child, or","Alice has a biological brother, Bob, who was born January 31st, 2014, and subsequently given up for adoption.",False,0,The fact pattern does not mention any children.
8,16,sara,86,"        (A) a child of the taxpayer or a descendant of such a child, or","Alice adopted a son, Bob, who was born January 31st, 2014.",True,1,"Bob is not Alice's definitional biological child, but he plays the role of child as Alice's adoptive child."
9,16,sara,193,    (11) remuneration for agricultural labor paid in any medium other than cash;,"Alice has paid $3200 to Bob for agricultural labor done from Feb 1st, 2017 to Sep 2nd, 2017. Alice paid Bob with eggs, grapes and hay.",False,0,"Bob was paid for agricultural labor, in mediums other than cash."
