,num_correct,ds,ds_ind,statute,fact_pattern,ambiguity_exists,level_of_ambiguity,reason_for_ambiguity
0,46,sara,229,    (16) service performed in the employ of an international organization;,"Alice was paid $73200 in 2017 as an employee of the International Monetary Fund in Washington, D.C., USA.",False,0,Alice was employed by an international organization.
1,45,sara,12,"    (i) 15% of taxable income if the taxable income is not over $36,900;",Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $25561.,False,0,Alice's taxable income is within the range.
2,45,sara,31,(b) Heads of households <br>  <br> There is hereby imposed on the taxable income of every head of a household (as defined in section 2(b)) a tax determined in accordance with the following:,Alice is a head of household for the year 2017. Alice's taxable income for the year 2017 is $97407.,False,0,Alice is a head of a household.
3,44,echr,141,"Article 3 

Prohibition of torture 

No one shall be subjected to torture or to inhuman or degrading treatment or punishment.","4.  The applicant was born in 1977. He is currently serving a life sentence in Dnipro. 5.  By the final domestic judgment of 16 July 2002, the applicant was sentenced to life imprisonment for murder and other crimes. 6.  Until September 2004 the applicant was detained in the Cherkassy pre-trial detention centre (""the Cherkassy SIZO"") in which, he stated, cells had been overcrowded and had lacked basic amenities. 7.  In October 2004 the applicant was transferred to Sokalska Correctional Colony no. 47 in Zhvyrka (""the Sokalska Colony""), where he remained until 15 November 2007. 8.  The applicant stated that during his detention in the above Colony, one of his cellmates had been Mr V.M. Guk, a former applicant to the Court, with whom he had shared the cell for three years. Mr Guk's application has already been examined by the Court, which found, in particular, a violation of Article 3 of the Convention on account of the conditions of his detention in the above Colony (see Guk v. Ukraine [Committee], no. 16995/05, §§ 83-86, 8 December 2016). 9.  According to the applicant, during his stay in the Colony he was held in a cell, in which the living space was ""extremely insufficient"". As confirmation thereof, he referred to a written statement signed by Mr Guk, which he had submitted to the Court. According to that statement, the cell measured 3.7 by 3.4 metres (12.58 square metres) including a sanitary facility measuring 1.35 by 1.3 metres (1.76 square metres). 10.  The cell lacked basic amenities: no furniture for storage of personal belongings and food; a very small table; no rubbish container; and no toilet cleaners. The tap water was of a poor quality and water filters were not provided. Heating in the cell was inadequate; the air was damp and cold; the walls were covered with mould.
(b)  Submissions by the Government 11.  According to the Government, the equipment in the applicant's cell corresponded to the domestic standards. Prisoners were provided with all necessary amenities. The quality of the tap water corresponded to the standards. The temperature in the cell was not less than 18 degrees Celsius and the air in the cell was neither damp nor cold. 12.  According to the applicant, the washing unit in the Colony had no changing facilities, so the prisoners had first to undress in their cells. A guard watched them wash and hurried them up. The prisoners had to shave with poor-quality razors. Prisoners with tuberculosis washed in the same unit as healthy prisoners; no disinfection measures were taken. Sick and healthy prisoners took their daily walks in the same courtyards, which were also small, damp and dark. 13.  Whenever the guards opened the cell, the prisoners had to retreat to its far corner, squat and put their arms behind their heads. When taken out of the cell, the applicant was handcuffed; he was required to walk in a squat or some other unnatural position; his head was covered with a black bag; handcuffs were not disinfected. 14.  Until April 2005 the prisoners had been required to roll up their mattresses in the morning. During the daytime they had been prohibited from lying down on the beds. 15.  In support of the above submissions, the applicant referred to the written statement of Mr Guk, which confirmed the procedure the prisoners had had to follow when the guards had opened the cell. It also stated that, when taken out of the cell, the prisoners had been handcuffed and escorted in a crouched position; a bag had often been put over a prisoner's head. Sick and healthy prisoners washed in the same unit and walked in the same courtyard. Mattresses on the beds had to be rolled up during the daytime. 16.  The applicant also stated that the administration had carried out searches of personal belongings, leaving them in disorder and often damaged; his watch had been stolen by an unidentified guard. Prisoners had not been provided with adequate medical assistance; they had been constantly ill-treated by the administration. In 2004-2005 the applicant had been regularly beaten by the guards. In 2004-2006 family visits had not been adequately organised. The applicant's correspondence with relatives had been reviewed and a number of his letters had disappeared.
(b)  Submissions by the Government 17.  The Government stated that the washing unit had a changing room. Disinfection measures in the Colony had fully complied with the domestic standards. Prisoners with tuberculosis were detained in a separate cell; they washed after others, and the washing unit was disinfected afterwards. 18.  Whenever the cell was opened, the prisoners were required to retreat to its far end, but not to squat. When escorted out of the cell, they were handcuffed, but not required to walk in a squat or with the head covered with a bag; handcuffs were in a proper condition and their disinfection was not required. 19.  Searches were conducted pursuant to the relevant regulations, and there were no situations alleged by the applicant. Prisoners were not prohibited to use mattresses during the daytime.",True,2,"This is degrading treatment, but the applicant was not severely tangibly harmed. It depends on what the statute intends by ""torture"" and ""punishment."""
4,42,sara,28,"    (iii) $17,544, plus 31% of the excess over $76,400 if the taxable income is over $76,400 but not over $127,500;",Alice is a head of household for the year 2017. Alice's taxable income for the year 2017 is $97407.,False,0,Alice's taxable income is within the range.
5,42,sara,35,"    (i) 15% of taxable income if the taxable income is not over $22,100;","Alice's taxable income for the year 2017 is $7748. In 2017, Alice is not married, is not a surviving spouse, and is not a head of household.",False,0,Alice's taxable income is within the range.
6,42,sara,244,"    (7) service performed in the employ of a State, or any political subdivision thereof.","Alice was paid $73200 in 2017 as an employee of the State of Maryland in Baltimore, Maryland, USA.",False,0,Alice was an employee of a State.
7,41,sara,5,"    (iii) $20,165, plus 31% of the excess over $89,150 if the taxable income is over $89,150 but not over $140,000;",Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $103272.,False,0,Alice's taxable income is within the range.
8,41,sara,26,"    (ii) $4,440, plus 28% of the excess over $29,600 if the taxable income is over $29,600 but not over $76,400;",Alice is a head of household for the year 2017. Alice's taxable income for the year 2017 is $54775.,False,0,Alice's taxable income is within the range.
9,41,sara,240,    (6) service performed in the employ of the United States Government,"Alice was paid $73200 in 2017 as an employee of the United States Government in Arlington, Virginia, USA.",False,0,Alice was employed by the U.S. Government.
