,num_correct,ds,ds_ind,statute,fact_pattern,ambiguity_exists,level_of_ambiguity,reason_for_ambiguity
0,54,sara,43,(c) Unmarried individuals (other than surviving spouses and heads of households) <br>  <br> There is hereby imposed on the taxable income of every individual (other than a surviving spouse as defined in section 2(a) or the head of a household as defined in section 2(b)) who is not a married individual (as defined in section 7703) a tax determined in accordance with the following:,"Alice's taxable income for the year 2017 is $210204. Alice is not married, is not a surviving spouse, and is not a head of household in 2017.",False,0,"Alice is not a surviving spouse, a head of a household, or married."
1,54,sara,58,"(b) Taxpayer and spouse <br>  <br> An exemption of the exemption amount for the taxpayer; and an additional exemption of the exemption amount for the spouse of the taxpayer if a joint return is not made by the taxpayer and his spouse, and if the spouse, for the calendar year in which the taxable year of the taxpayer begins, has no gross income and is not the dependent of another taxpayer.",Alice and Bob have been married since 2 Feb 2015. Bob has no income for 2015. Alice and Bob file their taxes jointly for 2015. The current year is 2015.,False,0,Alice and Bob file jointly. 
2,54,sara,220,    (11) service performed in the employ of a foreign government (including service as a consular or other officer or employee or a nondiplomatic representative);,"Alice was paid $73200 in 2017 as an employee of the State of Maryland in Baltimore, Maryland, USA.",False,0,"Alice was employed by a local, not foreign, government."
3,54,sara,267,"        (A) a married individual filing a separate return where either spouse itemizes deductions,","In 2017, Alice was paid $33200. Alice and Bob have been married since Feb 3rd, 2017. Bob and Alice file a joint return for 2017.",False,0,Alice and Bob are married but file a joint return.
4,54,sara,298,    (2) an individual legally separated from his spouse under a decree of divorce or of separate maintenance shall not be considered as married.,"Alice and Bob got married on April 5th, 2012. Alice and Bob were legally separated under a decree of divorce on September 16th, 2017. The current year is 2018.",False,0,Alice and Bob are legally separated.
5,54,echr,2,"Article 10 

Freedom of expression 

1. Everyone has the right to freedom of expression. This right shall include freedom to hold opinions and to receive and impart information and ideas without interference by public authority and regardless of frontiers. This Article shall not prevent States from requiring the licensing of broadcasting, television or cinema enterprises. 

2. The exercise of these freedoms, since it carries with it duties and responsibilities, may be subject to such formalities, conditions, restrictions or penalties as are prescribed by law and are necessary in a democratic society, in the interests of national security, territorial integrity or public safety, for the prevention of disorder or crime, for the protection of health or morals, for the protection of the reputation or rights of others, for preventing the disclosure of information received in confidence, or for maintaining the authority and impartiality of the judiciary.","4.  The applicant was born in 1960 and at the time of lodging his application he was serving his prison sentence in the Bolu F-type prison. 5.  On 3 December 2007 the applicant wrote a letter to the Ministry of Justice, in which he had praised the imprisoned leader of the PKK, Abdullah Öcalan by using the honorific ""sayın"", meaning esteemed. 6.  Pursuant to the Regulations on the administration of penitentiary institutions and the execution of sentences, the applicant was found guilty of breaching prison order by the Bolu F- type Prison Disciplinary Board (referred hereafter as ""the Board""). 7.  On 12 December 2007 the applicant was sentenced to 11 days' solitary confinement on the orders of the Board, on account of his statements in the above mentioned letter. 8.  On 25 December 2007 the Bolu Enforcement Judge rejected the applicant`s objection. 9.  On 15 January 2008 the Bolu Assize Court upheld the judgment of 25 December 2007.",True,1,"While some may argue the honorific ""esteemed"" rises to the level of threatening democratic interests, it seems clear that this is the applicant's personal opinion. The protest of visits and telephone calls does not seem to rise to the level of threatening democratic interests either."
6,54,echr,17,"Article 10 

Freedom of expression 

1. Everyone has the right to freedom of expression. This right shall include freedom to hold opinions and to receive and impart information and ideas without interference by public authority and regardless of frontiers. This Article shall not prevent States from requiring the licensing of broadcasting, television or cinema enterprises. 

2. The exercise of these freedoms, since it carries with it duties and responsibilities, may be subject to such formalities, conditions, restrictions or penalties as are prescribed by law and are necessary in a democratic society, in the interests of national security, territorial integrity or public safety, for the prevention of disorder or crime, for the protection of health or morals, for the protection of the reputation or rights of others, for preventing the disclosure of information received in confidence, or for maintaining the authority and impartiality of the judiciary.","5.  The applicant was born in 1982 and lives in Bern, Switzerland. At the time of the events giving rise to the present application, he was the editor‑in-chief of Ülkede Özgür Gündem, a daily newspaper published in Turkey. 6.  On 6 July 2004 an article written by Mr B.G. entitled ""Analysing the Kurdish dynamic correctly"" was published in Ülkede Özgür Gündem. In his article, Mr B.G. stated his views on the role of Abdullah Öcalan, the leader of the PKK (an illegal armed organisation), a number of organisations associated with the PKK in regional and international politics and political developments in Turkey. Next to the article a photograph of Abdullah Öcalan shaking hands with a group of armed men was published. 7.  On 8 July 2004 the public prosecutor at the Istanbul Assize Court filed a bill of indictment, charging the applicant with disseminating propaganda in favour of the KONGRA-GEL[1] under section 7(2) of the Prevention of Terrorism Act (Law no. 3713) on account of the article published on 6 July 2004. In the indictment, the public prosecutor quoted the following passage from the article:
""... Abdullah Öcalan, who has contributed to the essential dynamic of the Kurdish movement and the HPG[2], the PJA[3] and the KONGRA-GEL, organisations which have acted as military, political and ideological leaders and which have represented his leadership,... [must be well understood]"".
The public prosecutor stated that a photograph of Abdullah Öcalan in which he was standing in a rural area holding a weapon had been published in the newspaper, next to the article. The public prosecutor considered as a result that the applicant had disseminated propaganda in favour of a terrorist organisation inciting others to violence or other methods of terrorism. Subsequently, criminal proceedings were launched against the applicant before the Istanbul Assize Court. 8.  During the proceedings the applicant maintained that the article in question had been a news article and had not contained propaganda inciting to violence. 9.  On 24 May 2005 the Istanbul Assize Court convicted the applicant of disseminating propaganda in favour of the PKK/KONGRA-GEL under section 7(2) of Law no. 3713 and sentenced him to six months' imprisonment and a fine. In its judgment, the Istanbul Assize Court held that the content of the article and the publication of Abdullah Öcalan's photograph amounted to dissemination of propaganda in favour of the PKK/KONGRA-GEL. 10.  The applicant appealed. In his appeal petition, referring to a number of the Court's judgments, the applicant claimed that he had not had the intention of disseminating propaganda in favour of a terrorist organisation and that his criminal conviction had been in breach of Articles 6 and 10 of the Convention as he had been exercising his right to impart information. He also noted that the first-instance court had failed to examine the article in its entirety. 11.  On 16 May 2006 the principal public prosecutor at the Court of Cassation returned the case file to the first-instance court and requested that the latter revise its judgment in the light of the recent legislative amendments. 12.  On 28 September 2006 the Istanbul Assize Court once again convicted the applicant under section 7(2) of Law no. 3713, with the same reasoning that it had adopted on 24 May 2005. The court sentenced the applicant to a fine of 1,802 Turkish liras (TRY). 13.  The applicant appealed. 14.  On 18 November 2009 the Court of Cassation upheld the judgment of 28 September 2006. 15.  According to a document dated 15 January 2010, signed by the President of the Istanbul Assize Court and the Istanbul public prosecutor, the applicant was required to pay the fine of TRY 1,802.",True,1,"There is a view, as the public prosecutor argued, that this article threatens the interests of democratic society by inciting violence. But most would agree that the publication of an article in a periodical is clearly a matter of personal opinion."
7,54,echr,401,"Article 8 

Right to respect for private and family life 

1. Everyone has the right to respect for his private and family life, his home and his correspondence. 

2. There shall be no interference by a public authority with the exercise of this right except such as is in accordance with the law and is necessary in a democratic society in the interests of national security, public safety or the economic well-being of the country, for the prevention of disorder or crime, for the protection of health or morals, or for the protection of the rights and freedoms of others.","5.  The applicant was born in 1979 and lives in Ivanovo. 6.  At the relevant time the applicant was a member of the Ivanovo Region electoral commission. 7.  On 23 October 2003 a deputy head of the Ivanovo Region Department of Internal Affairs ordered audio-visual ""surveillance"" (""наблюдение"") of the applicant's office. The parties did not submit a copy of that decision. 8.  The surveillance was carried out from 27 October to 5 November 2003 by means of a hidden camera. 9.  The applicant was subsequently charged with abuse of power, an offence under Article 285 of the Criminal Code. While studying the criminal case file he discovered that it contained video recordings of him talking on the telephone in his office. 10.  At the trial the applicant pleaded not guilty. He claimed, in particular, that the video recordings were inadmissible as evidence as they had been obtained unlawfully without prior judicial authorisation. He also challenged the authenticity of the recordings. 11.  On 27 September 2004 the Leninskiy District Court of Ivanovo convicted the applicant of abuse of power and sentenced him to two years' imprisonment, suspended for two years. The court relied on statements by several witnesses, physical evidence, expert reports and the video recordings of the applicant's telephone conversations. It found that the video recordings were authentic and that they had been obtained in accordance with the procedure prescribed by law. 12.  The applicant appealed. He reiterated, in particular, his argument that the video recordings were inadmissible as evidence. 13.  On 12 November 2004 the Ivanovo Regional Court upheld the conviction on appeal. The court held that the District Court had correctly declared the video recordings admissible as evidence because they had been obtained in accordance with the procedure prescribed by law.",True,2,"Surveillance infringes upon the applicant's private life, but its usage prevented crime and upheld morals. It depends on whether that usage was necessary for democratic interests. "
8,53,sara,42,(c) Unmarried individuals (other than surviving spouses and heads of households) <br>  <br> There is hereby imposed on the taxable income of every individual (other than a surviving spouse as defined in section 2(a) or the head of a household as defined in section 2(b)) who is not a married individual (as defined in section 7703) a tax determined in accordance with the following:,Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $17330.,False,0,Alice is married. 
9,53,sara,84,"        (A) a child of the taxpayer or a descendant of such a child, or","Alice has a son, Bob, who was born January 31st, 2014.",False,0,Bob is Alice's child.
