,model_input,model_output,model_output_processed,followed_instr
0,"system: Imagine you are a legal expert. You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (i) 15% of taxable income if the taxable income is not over $36,900;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $42876.",False.,FALSE,TRUE
1,"system: Imagine you are a legal expert. You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (i) 15% of taxable income if the taxable income is not over $36,900;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $17330.",False.,FALSE,TRUE
2,"system: Imagine you are a legal expert. You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (ii) $5,535, plus 28% of the excess over $36,900 if the taxable income is over $36,900 but not over $89,150;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $103272.",False.,FALSE,TRUE
3,"system: Imagine you are a legal expert. You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (ii) $5,535, plus 28% of the excess over $36,900 if the taxable income is over $36,900 but not over $89,150;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $42876.",False.,FALSE,TRUE
4,"system: Imagine you are a legal expert. You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iii) $20,165, plus 31% of the excess over $89,150 if the taxable income is over $89,150 but not over $140,000;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $164612.",False.,FALSE,TRUE
5,"system: Imagine you are a legal expert. You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iii) $20,165, plus 31% of the excess over $89,150 if the taxable income is over $89,150 but not over $140,000;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $103272.",False.,FALSE,TRUE
6,"system: Imagine you are a legal expert. You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iv) $35,928.50, plus 36% of the excess over $140,000 if the taxable income is over $140,000 but not over $250,000;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $684642.",False.,FALSE,TRUE
7,"system: Imagine you are a legal expert. You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iv) $35,928.50, plus 36% of the excess over $140,000 if the taxable income is over $140,000 but not over $250,000;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $164612.",False.,FALSE,TRUE
8,"system: Imagine you are a legal expert. You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute: (a) Married individuals filing joint returns and surviving spouses <br>  <br> There is hereby imposed on the taxable income of- <br> a tax determined in accordance with the following:

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her husband's taxable income for the year 2017 is $17330.",FALSE,FALSE,TRUE
9,"system: Imagine you are a legal expert. You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (v) $75,528.50, plus 39.6% of the excess over $250,000 if the taxable income is over $250,000.

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $17330.",False.,FALSE,TRUE
