,model_input,model_output,model_output_processed,followed_instr
0,training data point; skipped,,NONE,NONE
1,training data point; skipped,,NONE,NONE
2,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (ii) $5,535, plus 28% of the excess over $36,900 if the taxable income is over $36,900 but not over $89,150;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $103272.",False,False,True
3,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (ii) $5,535, plus 28% of the excess over $36,900 if the taxable income is over $36,900 but not over $89,150;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $42876.",False,False,True
4,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iii) $20,165, plus 31% of the excess over $89,150 if the taxable income is over $89,150 but not over $140,000;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $164612.",False,False,True
5,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iii) $20,165, plus 31% of the excess over $89,150 if the taxable income is over $89,150 but not over $140,000;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $103272.",False,False,True
6,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iv) $35,928.50, plus 36% of the excess over $140,000 if the taxable income is over $140,000 but not over $250,000;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $684642.",False,False,True
7,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iv) $35,928.50, plus 36% of the excess over $140,000 if the taxable income is over $140,000 but not over $250,000;

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $164612.",False,False,True
8,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute: (a) Married individuals filing joint returns and surviving spouses <br>  <br> There is hereby imposed on the taxable income of- <br> a tax determined in accordance with the following:

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her husband's taxable income for the year 2017 is $17330.",False,False,True
9,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (v) $75,528.50, plus 39.6% of the excess over $250,000 if the taxable income is over $250,000.

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $17330.",False,False,True
10,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (v) $75,528.50, plus 39.6% of the excess over $250,000 if the taxable income is over $250,000.

Fact pattern: Alice is married under section 7703 for the year 2017. Alice files a joint return with her spouse for 2017. Alice's and her spouse's taxable income for the year 2017 is $684642.",False,False,True
11,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (i) 15% of taxable income if the taxable income is not over $36,900;

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $70117.",False,False,True
12,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (i) 15% of taxable income if the taxable income is not over $36,900;

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $25561.",False,False,True
13,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (ii) $5,535, plus 28% of the excess over $36,900 if the taxable income is over $36,900 but not over $89,150;

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $95129.",False,False,True
14,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (ii) $5,535, plus 28% of the excess over $36,900 if the taxable income is over $36,900 but not over $89,150;

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $70117.",False,False,True
15,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iii) $20,165, plus 31% of the excess over $89,150 if the taxable income is over $89,150 but not over $140,000;

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $236422.",False,False,True
16,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iii) $20,165, plus 31% of the excess over $89,150 if the taxable income is over $89,150 but not over $140,000;

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $95129.",False,False,True
17,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iv) $35,928.50, plus 36% of the excess over $140,000 if the taxable income is over $140,000 but not over $250,000;

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $615572.",False,False,True
18,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iv) $35,928.50, plus 36% of the excess over $140,000 if the taxable income is over $140,000 but not over $250,000;

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $236422.",False,False,True
19,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute: (a) Married individuals filing joint returns and surviving spouses <br>  <br> There is hereby imposed on the taxable income of- <br> a tax determined in accordance with the following:

Fact pattern: Alice's taxable income for the year 2017 is $210204. Alice is not married, is not a surviving spouse, and is not a head of household in 2017.",False,False,True
20,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute: (a) Married individuals filing joint returns and surviving spouses <br>  <br> There is hereby imposed on the taxable income of- <br> a tax determined in accordance with the following:

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $70117.",False,False,True
21,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (v) $75,528.50, plus 39.6% of the excess over $250,000 if the taxable income is over $250,000.

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $25561.",True,True,True
22,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (v) $75,528.50, plus 39.6% of the excess over $250,000 if the taxable income is over $250,000.

Fact pattern: Alice is a surviving spouse for the year 2017. Alice's taxable income for the year 2017 is $615572.",False,False,True
23,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (i) 15% of taxable income if the taxable income is not over $29,600;

Fact pattern: Alice is a head of household for the year 2017. Alice's taxable income for the year 2017 is $1172980.",False,False,True
24,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (i) 15% of taxable income if the taxable income is not over $29,600;

Fact pattern: Alice is a head of household for the year 2017. Alice's taxable income for the year 2017 is $9560.",False,False,True
25,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (ii) $4,440, plus 28% of the excess over $29,600 if the taxable income is over $29,600 but not over $76,400;

Fact pattern: Alice is a head of household for the year 2017. Alice's taxable income for the year 2017 is $9560.",False,False,True
26,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (ii) $4,440, plus 28% of the excess over $29,600 if the taxable income is over $29,600 but not over $76,400;

Fact pattern: Alice is a head of household for the year 2017. Alice's taxable income for the year 2017 is $54775.",False,False,True
27,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iii) $17,544, plus 31% of the excess over $76,400 if the taxable income is over $76,400 but not over $127,500;

Fact pattern: Alice is a head of household for the year 2017. Alice's taxable income for the year 2017 is $54775.",False,False,True
28,"system: You will be provided with a legal statute and a fact pattern. If there is ambiguity, respond “True”; if there is no ambiguity, respond “False.”

user: Statute:     (iii) $17,544, plus 31% of the excess over $76,400 if the taxable income is over $76,400 but not over $127,500;

Fact pattern: Alice is a head of household for the year 2017. Alice's taxable income for the year 2017 is $97407.",False,False,True
